Date,Show_name,Potential_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
2023-03-19,Shucked,456719.1,164747.60,55.72,8197.0,1171.0,0.0,100.0,0.55
2023-03-19,SIX: The Musical,1157324.0,60623.00,139.45,8299.0,1031.0,8.0,100.62,3.95
2023-03-19,Some Like It Hot,971410.09,198842.89,95.75,10145.0,1448.0,8.0,87.58,17.21
2023-03-19,Sweeney Todd,1679014.0,-126496.00,169.27,9919.0,1498.0,0.0,94.59,-5.41
2023-03-19,Wicked,2038192.0,348823.00,132.50,15383.0,1926.0,8.0,99.84,1.44
2023-03-26,& Juliet,1162400.9,-111879.50,147.70,7870.0,1026.0,8.0,95.88,-4.51
2023-03-26,Aladdin,1357349.9,-148956.60,102.18,13284.0,1727.0,8.0,96.15,-3.84
2023-03-26,Bad Cinderella,633929.15,-8267.20,62.24,10185.0,1398.0,5.0,91.07,1.64
2023-03-26,A Beautiful Noise The Neil Diamond Musical,962467.14,120131.94,137.22,7014.0,1152.0,8.0,76.11,2.88
2023-03-26,The Book of Mormon,1034888.9,-69269.77,123.89,8353.0,1066.0,8.0,97.95,-2.52
2023-03-26,Camelot,859626.5,118283.50,112.08,7670.0,1047.0,0.0,91.57,1.37
2023-03-26,Chicago,926297.59,22301.94,107.30,8633.0,1080.0,8.0,99.92,0.97
2023-03-26,Dancin',646943.9,82437.60,105.35,6141.0,989.0,8.0,77.62,-12.74
2023-03-26,A Doll's House,885480.0,16372.00,119.92,7384.0,946.0,8.0,97.57,-1.85
2023-03-26,Fat Ham,216478.0,0.00,63.97,3384.0,704.0,0.0,96.14,0.0
2023-03-26,Funny Girl,1644720.2,379947.95,198.88,8270.0,1219.0,8.0,84.8,-0.56
2023-03-26,Hadestown,851674.75,-60493.50,116.27,7325.0,918.0,8.0,99.74,-0.87
2023-03-26,Hamilton,1915779.5,-209446.50,179.04,10700.0,1324.0,8.0,101.02,0.01
2023-03-26,Harry Potter and the Cursed Child,1408310.45,-219147.35,118.00,11935.0,1622.0,8.0,91.98,-7.42
2023-03-26,Kimberly Akimbo,527288.35,12232.56,92.22,5718.0,773.0,8.0,92.46,-4.48
2023-03-26,Leopoldstadt,532140.4,-21297.00,101.51,5242.0,1075.0,8.0,60.95,-7.92
2023-03-26,Life of Pi,446350.91,-47250.89,68.33,6532.0,990.0,0.0,94.26,0.38
2023-03-26,The Lion King,2130825.0,-121574.00,159.41,13367.0,1696.0,8.0,98.52,-1.4
2023-03-26,MJ The Musical,1703771.5,-38898.50,153.34,11111.0,1387.0,8.0,100.14,0.03
2023-03-26,Moulin Rouge! The Musical,1482284.96,-84975.20,143.04,10363.0,1300.0,8.0,99.64,-0.73
2023-03-26,New York New York,418601.25,0.00,127.16,3292.0,1643.0,0.0,100.18,0.0
2023-03-26,Parade,1127072.9,86191.25,138.34,8147.0,1020.0,8.0,99.84,-1.94
2023-03-26,Peter Pan Goes Wrong,474262.5,110115.50,74.16,6395.0,1051.0,0.0,76.06,-4.26
2023-03-26,The Phantom of the Opera,3057932.84,28106.92,234.27,13053.0,1605.0,8.0,101.66,-0.05
2023-03-26,Pictures From Home,308785.5,-19716.50,64.51,4787.0,807.0,7.0,84.74,0.77
2023-03-26,Shucked,517296.4,60577.30,56.62,9137.0,1171.0,0.0,97.53,-2.47
2023-03-26,SIX: The Musical,1136666.5,-20657.50,137.54,8264.0,1031.0,8.0,100.19,-0.43
2023-03-26,Some Like It Hot,925850.95,-45559.14,99.60,9296.0,1448.0,8.0,80.25,-7.33
2023-03-26,Sweeney Todd,1394402.0,-284612.00,132.98,10486.0,1498.0,1.0,100.0,5.41
