,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
58,Aladdin,"$1,332,597.50","$35,355.00",$97.58,"13,657",8,98.85%,0.57%,2020-02-23,New Amsterdam Theatre,"$1,445,655.00",$215.50,"1,727",0
59,Beetlejuice,"$1,319,654.35","-$18,034.59",$108.57,"12,155",8,101.77%,6.01%,2020-02-23,Winter Garden Theatre,"$1,310,008.00",$323.00,"1,493",0
60,The Book of Mormon,"$1,036,275.30","-$133,922.25",$122.71,"8,445",8,100.82%,-0.02%,2020-02-23,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
61,Chicago,"$688,252.30","-$33,909.25",$90.18,"7,632",8,88.33%,0.19%,2020-02-23,Ambassador Theatre,"$960,444.00",$207.00,"1,080",0
62,Come From Away,"$907,979.06","-$53,525.94",$106.40,"8,534",8,101.98%,0.35%,2020-02-23,Gerald Schoenfeld Theatre,"$1,108,592.00",$297.00,"1,046",0
63,Dear Evan Hansen,"$1,120,039.20","$54,857.74",$140.23,"7,987",8,101.46%,1.88%,2020-02-23,Music Box Theatre,"$1,234,034.00",$297.00,984,0
64,Frozen,"$1,160,620.20","$85,954.20",$87.24,"13,304",8,98.75%,8.92%,2020-02-23,St. James Theatre,"$1,183,520.00",$217.50,"1,684",0
65,Girl From the North Country,"$561,909.50","-$57,364.10",$83.26,"6,749",0,84.53%,0.88%,2020-02-23,Belasco Theatre,"$988,888.00",$247.00,998,8
66,Grand Horizons,"$243,910.43","-$26,511.26",$59.81,"4,078",8,87.14%,-0.32%,2020-02-23,Helen Hayes Theater,"$571,240.00",$199.00,585,0
67,Hadestown,"$1,127,757.25","-$161,500.75",$151.89,"7,425",8,101.10%,-0.08%,2020-02-23,Walter Kerr Theatre,"$1,094,012.00",$0.00,918,0
68,Hamilton,"$2,763,624.00","$209,903.00",$257.03,"10,752",8,101.51%,0.11%,2020-02-23,Richard Rodgers Theatre,"$2,605,608.00",$747.00,"1,324",0
69,Harry Potter and the Cursed Child,"$1,092,806.50","-$63,095.50",$84.58,"12,921",8,99.58%,-0.42%,2020-02-23,Lyric Theatre,"$1,098,770.50",$296.50,"1,622",0
