,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
7024,An American in Paris,"$1,369,904.00","$64,575.00",$128.16,"10,689",8,79.58%,2.86%,2015-12-06,Palace Theatre,"$1,471,280.00",$223.00,"1,679",0
7025,Beautiful: The Carole King Musical,"$1,054,459.00","$83,664.00",$139.04,"7,584",8,92.40%,4.83%,2015-12-06,Stephen Sondheim Theatre,"$1,217,648.00",$299.00,"1,026",0
7026,The Book of Mormon,"$1,536,445.00","-$234,646.00",$177.13,"8,674",8,101.71%,0.43%,2015-12-06,Eugene O'Neill Theatre,"$1,376,656.00",$477.00,"1,066",0
7027,Chicago,"$480,808.00","-$101,493.00",$83.82,"5,736",8,66.39%,-9.52%,2015-12-06,Ambassador Theatre,"$938,372.00",$186.00,"1,080",0
7028,China Doll,"$1,109,962.00","$416,762.00",$152.57,"7,275",4,97.22%,1.22%,2015-12-06,Gerald Schoenfeld Theatre,"$1,109,674.00",$350.00,"1,069",3
7029,The Color Purple,"$738,958.00","$2,533.00",$101.58,"7,275",0,86.52%,-2.10%,2015-12-06,Bernard B. Jacobs Theatre,"$1,024,638.00",$193.00,"1,051",8
7030,The Curious Incident of the Dog in the Night-Time,"$552,862.00","-$163,452.00",$94.91,"5,825",8,71.53%,-8.98%,2015-12-06,Ethel Barrymore Theatre,"$902,678.00",$233.00,"1,018",0
7031,Dames at Sea,"$131,588.00","$4,389.00",$66.32,"1,984",8,42.54%,5.19%,2015-12-06,Helen Hayes Theatre,"$556,860.00",$227.00,583,0
7032,Fiddler on the Roof,"$1,062,494.00","-$159,222.00",$89.02,"11,935",0,87.40%,-7.05%,2015-12-06,Broadway Theatre,"$1,552,894.00",$225.00,"1,707",8
7033,Finding Neverland,"$867,467.00","-$214,655.00",$99.94,"8,680",8,72.14%,-11.75%,2015-12-06,Lunt-Fontanne Theatre,"$1,476,000.00",$225.00,"1,504",0
7034,Fool For Love,"$318,741.00","$73,375.00",$84.08,"3,791",8,74.16%,-0.53%,2015-12-06,Samuel J. Friedman Theatre,"$666,576.00",$0.00,639,0
7035,Fun Home,"$571,715.00","-$152,525.00",$102.68,"5,568",8,94.05%,1.70%,2015-12-06,Circle in the Square Theatre,"$794,880.00",$280.00,740,0
7036,A Gentleman's Guide to Love and Murder,"$497,485.00","-$2,071.00",$88.62,"5,614",8,77.37%,2.58%,2015-12-06,Walter Kerr Theatre,"$958,928.00",$327.00,907,0
7037,The Gin Game,"$218,301.00","-$23,616.00",$75.35,"2,897",7,51.60%,-3.14%,2015-12-06,John Golden Theatre,"$680,218.00",$223.00,802,0
7038,Hamilton,"$1,613,691.00","-$220,195.00",$150.36,"10,732",8,101.55%,-0.07%,2015-12-06,Richard Rodgers Theatre,"$1,334,960.00",$475.00,"1,321",0
7039,Hand to God,"$190,205.00","-$21,590.00",$73.92,"2,573",8,41.66%,-6.70%,2015-12-06,Booth Theatre,"$627,360.00",$223.00,772,0
7040,The Illusionists - Live On Broadway,"$657,334.00","-$158,776.00",$96.14,"6,837",8,61.80%,7.02%,2015-12-06,Neil Simon Theatre,"$1,245,872.00",$250.00,"1,383",0
7041,Jersey Boys,"$741,956.00","$26,574.00",$104.11,"7,127",8,72.55%,4.36%,2015-12-06,August Wilson Theatre,"$1,151,143.00",$199.00,"1,228",0
7042,The King and I,"$864,141.00","-$102,002.00",$122.68,"7,044",8,84.10%,4.26%,2015-12-06,Vivian Beaumont Theater,"$1,218,380.00",$297.00,"1,047",0
7043,King Charles III,"$569,005.00","-$15,945.00",$115.70,"4,918",8,62.92%,-6.53%,2015-12-06,Music Box Theatre,"$996,792.00",$225.00,977,0
7044,Kinky Boots,"$1,016,279.00","$61,834.00",$111.01,"9,155",8,80.36%,3.39%,2015-12-06,Al Hirschfeld Theatre,"$1,399,620.00",$299.00,"1,424",0
7045,Les Misérables,"$717,333.00","-$129,729.00",$90.70,"7,909",8,70.17%,-11.37%,2015-12-06,Imperial Theatre,"$1,180,842.00",$225.00,"1,409",0
7046,The Lion King,"$1,983,820.00","-$452,678.00",$150.99,"13,139",8,96.84%,-2.75%,2015-12-06,Minskoff Theatre,"$2,078,805.00",$225.00,"1,696",0
7047,Lord of the Dance: Dangerous Games,"$247,621.00","-$64,116.00",$55.01,"4,501",8,29.67%,2.75%,2015-12-06,Lyric Theatre,"$1,502,056.00",$225.00,"1,896",0
7048,Matilda The Musical,"$789,026.00","-$369,852.00",$88.63,"8,902",8,77.71%,-13.81%,2015-12-06,Sam S. Shubert Theatre,"$1,327,753.00",$250.00,"1,432",0
7049,Misery,"$827,287.00","$115,916.00",$121.98,"6,782",8,72.09%,12.08%,2015-12-06,Broadhurst Theatre,"$1,247,672.00",$297.00,"1,176",0
7050,On Your Feet!,"$1,283,093.00","$21,680.00",$112.11,"11,445",8,87.98%,3.15%,2015-12-06,Marquis Theatre,"$1,552,352.00",$199.00,"1,626",0
7051,The Phantom of the Opera,"$754,615.00","-$291,030.00",$87.61,"8,613",8,67.08%,-13.28%,2015-12-06,Majestic Theatre,"$1,514,575.00",$200.00,"1,605",0
7052,School of Rock – The Musical,"$669,028.00","-$635,223.00",$63.60,"10,519",1,88.48%,-9.13%,2015-12-06,Winter Garden Theatre,"$1,456,224.00",$248.00,"1,486",7
7053,Something Rotten!,"$901,887.00","-$45,504.00",$97.32,"9,267",8,73.06%,5.54%,2015-12-06,St. James Theatre,"$1,412,620.00",$277.00,"1,586",0
7054,Spring Awakening,"$390,739.00","-$47,635.00",$75.89,"5,149",8,62.73%,4.17%,2015-12-06,Brooks Atkinson Theatre,"$1,003,600.00",$247.00,"1,026",0
7055,Sylvia,"$281,084.00","-$25,412.00",$53.24,"5,280",8,61.62%,0.84%,2015-12-06,Cort Theatre,"$911,820.00",$199.00,"1,071",0
7056,Thérèse Raquin,"$410,148.00","$46,787.00",$81.95,"5,005",8,61.40%,0.49%,2015-12-06,Studio 54,"$845,144.00",$0.00,"1,019",0
7057,A View from the Bridge,"$533,251.00","$9,804.00",$81.02,"6,582",8,77.84%,3.74%,2015-12-06,Lyceum Theatre,"$901,376.00",$248.00,"1,057",0
7058,Aladdin,"$2,048,348.00","$699,501.00",$150.25,"13,633",8,98.68%,7.10%,2015-11-29,New Amsterdam Theatre,"$1,984,796.00",$299.50,"1,727",0
7059,Allegiance,"$490,878.00","$80,860.00",$91.92,"5,340",8,63.15%,3.30%,2015-11-29,Longacre Theatre,"$938,170.00",$223.00,"1,057",0
7060,An American in Paris,"$1,305,329.00","$122,704.00",$126.67,"10,305",8,76.72%,-0.51%,2015-11-29,Palace Theatre,"$1,471,280.00",$223.00,"1,679",0
7061,Beautiful: The Carole King Musical,"$970,795.00","$20,823.00",$135.06,"7,188",8,87.57%,-1.77%,2015-11-29,Stephen Sondheim Theatre,"$1,221,156.00",$299.00,"1,026",0
7062,The Book of Mormon,"$1,771,091.00","$368,249.00",$182.27,"9,717",9,101.28%,-0.68%,2015-11-29,Eugene O'Neill Theatre,"$1,688,808.00",$477.00,"1,066",0
7063,Chicago,"$582,301.00","$152,485.00",$88.78,"6,559",8,75.91%,15.53%,2015-11-29,Ambassador Theatre,"$938,372.00",$186.00,"1,080",0
7064,China Doll,"$693,200.00","-$331,714.00",$168.87,"4,105",0,96.00%,1.04%,2015-11-29,Gerald Schoenfeld Theatre,"$652,154.00",$350.00,"1,069",4
7065,The Color Purple,"$736,425.00","$44,499.00",$98.84,"7,451",0,88.62%,-5.26%,2015-11-29,Bernard B. Jacobs Theatre,"$1,028,248.00",$193.00,"1,051",8
7066,The Curious Incident of the Dog in the Night-Time,"$716,314.00","$166,587.00",$109.24,"6,557",8,80.51%,3.20%,2015-11-29,Ethel Barrymore Theatre,"$902,678.00",$233.00,"1,018",0
7067,Dames at Sea,"$127,199.00",$128.00,$73.02,"1,742",8,37.35%,-2.74%,2015-11-29,Helen Hayes Theatre,"$556,860.00",$227.00,583,0
7068,Fiddler on the Roof,"$1,221,716.00","$731,657.00",$94.72,"12,898",0,94.45%,-5.35%,2015-11-29,Broadway Theatre,"$1,552,894.00",$225.00,"1,707",8
7069,Finding Neverland,"$1,082,122.00","$317,109.00",$107.20,"10,094",8,83.89%,15.45%,2015-11-29,Lunt-Fontanne Theatre,"$1,476,000.00",$225.00,"1,504",0
7070,Fool For Love,"$245,366.00","-$49,629.00",$73.44,"3,341",7,74.69%,1.39%,2015-11-29,Samuel J. Friedman Theatre,"$585,174.00",$0.00,639,0
7071,Fun Home,"$724,240.00","$190,908.00",$132.48,"5,467",8,92.35%,8.77%,2015-11-29,Circle in the Square Theatre,"$794,880.00",$280.00,740,0
7072,A Gentleman's Guide to Love and Murder,"$499,556.00","$81,669.00",$92.05,"5,427",8,74.79%,2.37%,2015-11-29,Walter Kerr Theatre,"$958,928.00",$327.00,907,0
7073,The Gin Game,"$241,917.00","-$119,114.00",$78.72,"3,073",7,54.74%,-14.57%,2015-11-29,John Golden Theatre,"$680,218.00",$223.00,802,0
7074,Hamilton,"$1,833,886.00","$383,123.00",$170.77,"10,739",8,101.62%,0.04%,2015-11-29,Richard Rodgers Theatre,"$1,334,960.00",$475.00,"1,321",0
7075,Hand to God,"$211,795.00","$48,821.00",$70.91,"2,987",8,48.36%,10.62%,2015-11-29,Booth Theatre,"$628,240.00",$223.00,772,0
7076,The Illusionists - Live On Broadway,"$816,110.00","$220,500.00",$107.72,"7,576",10,54.78%,-14.96%,2015-11-29,Neil Simon Theatre,"$1,682,300.00",$250.00,"1,383",0
7077,Jersey Boys,"$715,382.00","$191,780.00",$106.79,"6,699",8,68.19%,13.69%,2015-11-29,August Wilson Theatre,"$1,151,143.00",$199.00,"1,228",0
7078,The King and I,"$966,143.00","$306,445.00",$144.48,"6,687",8,79.84%,9.22%,2015-11-29,Vivian Beaumont Theater,"$1,218,380.00",$297.00,"1,047",0
7079,King Charles III,"$584,950.00","-$43,224.00",$107.77,"5,428",8,69.45%,-3.50%,2015-11-29,Music Box Theatre,"$996,792.00",$225.00,977,0
7080,Kinky Boots,"$954,445.00","$135,261.00",$108.86,"8,768",8,76.97%,1.14%,2015-11-29,Al Hirschfeld Theatre,"$1,335,450.00",$299.00,"1,424",0
7081,Les Misérables,"$847,062.00","$246,570.00",$92.16,"9,191",8,81.54%,21.30%,2015-11-29,Imperial Theatre,"$1,178,022.00",$225.00,"1,409",0
7082,The Lion King,"$2,436,498.00","$723,998.00",$180.32,"13,512",8,99.59%,1.90%,2015-11-29,Minskoff Theatre,"$2,357,227.00",$225.00,"1,696",0
7083,Lord of the Dance: Dangerous Games,"$311,737.00","$16,929.00",$67.87,"4,593",9,26.92%,-7.50%,2015-11-29,Lyric Theatre,"$1,685,588.00",$225.00,"1,896",0
7084,Matilda The Musical,"$1,158,878.00","$475,379.00",$110.53,"10,485",8,91.52%,18.88%,2015-11-29,Sam S. Shubert Theatre,"$1,327,753.00",$250.00,"1,432",0
7085,Misery,"$711,371.00","-$189,098.00",$126.00,"5,646",8,60.01%,-21.72%,2015-11-29,Broadhurst Theatre,"$1,272,430.00",$297.00,"1,176",0
7086,Old Times,"$365,051.00","-$35,055.00",$73.84,"4,944",8,83.51%,-3.53%,2015-11-29,American Airlines Theatre,"$629,680.00",$0.00,740,0
7087,On Your Feet!,"$1,261,413.00","-$55,613.00",$114.31,"11,035",8,84.83%,-9.63%,2015-11-29,Marquis Theatre,"$1,552,352.00",$199.00,"1,626",0
7088,The Phantom of the Opera,"$1,045,645.00","$382,555.00",$101.34,"10,318",8,80.36%,18.26%,2015-11-29,Majestic Theatre,"$1,514,575.00",$200.00,"1,605",0
7089,School of Rock – The Musical,"$1,304,251.00","$567,539.00",$112.40,"11,604",0,97.61%,15.74%,2015-11-29,Winter Garden Theatre,"$1,456,224.00",$248.00,"1,486",8
7090,Something Rotten!,"$947,391.00","$272,419.00",$110.63,"8,564",8,67.52%,3.87%,2015-11-29,St. James Theatre,"$1,413,080.00",$277.00,"1,586",0
7091,Spring Awakening,"$438,374.00","$49,431.00",$91.19,"4,807",8,58.56%,-9.63%,2015-11-29,Brooks Atkinson Theatre,"$1,003,600.00",$247.00,"1,026",0
7092,Sylvia,"$306,496.00","-$10,537.00",$58.85,"5,208",8,60.78%,-2.36%,2015-11-29,Cort Theatre,"$920,645.00",$199.00,"1,071",0
7093,Thérèse Raquin,"$363,361.00","-$34,099.00",$73.18,"4,965",8,60.91%,-1.60%,2015-11-29,Studio 54,"$845,144.00",$0.00,"1,019",0
7094,A View from the Bridge,"$523,447.00","-$1,833.00",$83.54,"6,266",8,74.10%,-6.97%,2015-11-29,Lyceum Theatre,"$902,426.00",$248.00,"1,057",0
7095,Wicked,"$2,290,873.00","$782,716.00",$151.72,"15,099",9,92.84%,3.39%,2015-11-29,Gershwin Theatre,"$2,002,326.00",$240.00,"1,807",0
7096,Aladdin,"$1,348,847.00","-$118,925.00",$106.61,"12,652",8,91.58%,-6.38%,2015-11-22,New Amsterdam Theatre,"$1,566,152.00",$199.50,"1,727",0
7097,Allegiance,"$410,018.00","-$161,732.00",$81.02,"5,061",8,59.85%,-23.14%,2015-11-22,Longacre Theatre,"$927,600.00",$223.00,"1,057",0
7098,An American in Paris,"$1,182,625.00","-$102,192.00",$114.01,"10,373",8,77.23%,-7.71%,2015-11-22,Palace Theatre,"$1,471,280.00",$223.00,"1,679",0
7099,Beautiful: The Carole King Musical,"$949,972.00","-$109,154.00",$129.55,"7,333",8,89.34%,-9.05%,2015-11-22,Stephen Sondheim Theatre,"$1,235,066.00",$299.00,"1,026",0
7100,The Book of Mormon,"$1,402,842.00","-$84,372.00",$161.34,"8,695",8,101.96%,-0.39%,2015-11-22,Eugene O'Neill Theatre,"$1,376,656.00",$477.00,"1,066",0
7101,Chicago,"$429,816.00","-$116,470.00",$82.39,"5,217",8,60.38%,-15.81%,2015-11-22,Ambassador Theatre,"$938,372.00",$186.00,"1,080",0
7102,China Doll,"$1,024,914.00","-$177,235.00",$144.23,"7,106",0,94.96%,-3.00%,2015-11-22,Gerald Schoenfeld Theatre,"$1,109,674.00",$350.00,"1,069",7
7103,The Color Purple,"$691,926.00","$1,106.00",$100.18,"6,907",0,93.88%,-4.22%,2015-11-22,Bernard B. Jacobs Theatre,"$900,351.00",$193.00,"1,051",7
7104,The Curious Incident of the Dog in the Night-Time,"$549,727.00","-$74,377.00",$87.31,"6,296",8,77.31%,-3.23%,2015-11-22,Ethel Barrymore Theatre,"$902,678.00",$233.00,"1,018",0
7105,Dames at Sea,"$127,071.00","-$74,341.00",$67.95,"1,870",8,40.09%,-19.45%,2015-11-22,Helen Hayes Theatre,"$556,860.00",$227.00,583,0
7106,Fiddler on the Roof,"$490,059.00",$0.00,$96.11,"5,099",0,99.80%,0.00%,2015-11-22,Broadway Theatre,"$593,044.00",$225.00,"1,703",3
7107,Finding Neverland,"$765,013.00","-$77,660.00",$92.90,"8,235",8,68.44%,-10.67%,2015-11-22,Lunt-Fontanne Theatre,"$1,476,000.00",$225.00,"1,504",0
7108,Fool For Love,"$294,995.00","-$56,311.00",$78.73,"3,747",8,73.30%,-9.99%,2015-11-22,Samuel J. Friedman Theatre,"$666,576.00",$0.00,639,0
7109,Fun Home,"$533,332.00","-$99,570.00",$107.79,"4,948",8,83.58%,-9.34%,2015-11-22,Circle in the Square Theatre,"$794,880.00",$250.00,740,0
7110,A Gentleman's Guide to Love and Murder,"$417,887.00","-$79,864.00",$79.52,"5,255",8,72.42%,-12.79%,2015-11-22,Walter Kerr Theatre,"$958,928.00",$327.00,907,0
7111,The Gin Game,"$361,031.00","-$30,083.00",$92.79,"3,891",7,69.31%,-5.40%,2015-11-22,John Golden Theatre,"$680,218.00",$223.00,802,0
7112,Hamilton,"$1,450,763.00","-$145,548.00",$135.14,"10,735",8,101.58%,-0.03%,2015-11-22,Richard Rodgers Theatre,"$1,334,960.00",$475.00,"1,321",0
7113,Hand to God,"$162,974.00","-$58,255.00",$69.92,"2,331",8,37.74%,-15.81%,2015-11-22,Booth Theatre,"$627,360.00",$223.00,772,0
7114,The Illusionists - Live On Broadway,"$595,610.00",$0.00,$87.27,"6,825",7,69.74%,0.00%,2015-11-22,Neil Simon Theatre,"$1,152,931.00",$250.00,"1,398",0
7115,Jersey Boys,"$523,602.00","-$112,400.00",$97.80,"5,354",8,54.50%,-11.01%,2015-11-22,August Wilson Theatre,"$1,151,143.00",$199.00,"1,228",0
7116,The King and I,"$659,698.00","-$106,545.00",$111.53,"5,915",8,70.62%,-5.71%,2015-11-22,Vivian Beaumont Theater,"$1,218,380.00",$297.00,"1,047",0
7117,King Charles III,"$628,174.00","-$49,668.00",$110.17,"5,702",8,72.95%,-6.95%,2015-11-22,Music Box Theatre,"$996,792.00",$225.00,977,0
7118,Kinky Boots,"$819,184.00","-$89,647.00",$94.84,"8,638",8,75.83%,-2.49%,2015-11-22,Al Hirschfeld Theatre,"$1,257,280.00",$299.00,"1,424",0
7119,Les Misérables,"$600,492.00","-$72,140.00",$88.44,"6,790",8,60.24%,-9.25%,2015-11-22,Imperial Theatre,"$1,180,842.00",$225.00,"1,409",0
7120,The Lion King,"$1,712,500.00","$79,156.00",$129.20,"13,255",8,97.69%,-2.34%,2015-11-22,Minskoff Theatre,"$1,771,620.00",$225.00,"1,696",0
7121,Lord of the Dance: Dangerous Games,"$294,808.00","-$101,911.00",$56.47,"5,221",8,34.42%,-17.94%,2015-11-22,Lyric Theatre,"$1,502,056.00",$225.00,"1,896",0
7122,Matilda The Musical,"$683,499.00","-$52,498.00",$82.13,"8,322",8,72.64%,-4.60%,2015-11-22,Sam S. Shubert Theatre,"$1,327,753.00",$250.00,"1,432",0
7123,Misery,"$900,469.00","$77,832.00",$117.11,"7,689",8,81.73%,-8.70%,2015-11-22,Broadhurst Theatre,"$1,264,088.00",$297.00,"1,176",0
7124,Old Times,"$400,106.00","$4,831.00",$77.65,"5,153",8,87.04%,4.69%,2015-11-22,American Airlines Theatre,"$629,680.00",$0.00,740,0
7125,On Your Feet!,"$1,317,026.00","$37,415.00",$107.19,"12,287",8,94.46%,-2.76%,2015-11-22,Marquis Theatre,"$1,552,352.00",$199.00,"1,626",0
7126,The Phantom of the Opera,"$663,090.00","-$114,311.00",$83.17,"7,973",8,62.10%,-10.62%,2015-11-22,Majestic Theatre,"$1,514,575.00",$200.00,"1,605",0
7127,School of Rock – The Musical,"$736,712.00","-$191,884.00",$75.69,"9,733",0,81.87%,-8.01%,2015-11-22,Winter Garden Theatre,"$1,456,224.00",$248.00,"1,486",8
7128,Something Rotten!,"$674,972.00","-$177,739.00",$88.14,"7,658",8,63.65%,-10.74%,2015-11-22,St. James Theatre,"$1,372,600.00",$277.00,"1,504",0
7129,Spring Awakening,"$388,943.00","-$26,258.00",$69.49,"5,597",8,68.19%,4.39%,2015-11-22,Brooks Atkinson Theatre,"$1,003,600.00",$247.00,"1,026",0
7130,Sylvia,"$317,033.00","-$47,051.00",$58.60,"5,410",8,63.14%,3.27%,2015-11-22,Cort Theatre,"$911,820.00",$199.00,"1,071",0
7131,Thérèse Raquin,"$397,460.00","-$59,432.00",$77.99,"5,096",8,62.51%,-7.41%,2015-11-22,Studio 54,"$845,144.00",$0.00,"1,019",0
7132,A View from the Bridge,"$525,280.00","$84,589.00",$76.63,"6,855",8,81.07%,-5.69%,2015-11-22,Lyceum Theatre,"$854,786.00",$248.00,"1,057",0
7133,Wicked,"$1,508,157.00","-$138,630.00",$116.63,"12,931",8,89.45%,-9.55%,2015-11-22,Gershwin Theatre,"$1,779,845.00",$240.00,"1,807",0
7134,Aladdin,"$1,467,772.00","-$18,472.00",$108.45,"13,534",8,97.96%,-1.06%,2015-11-15,New Amsterdam Theatre,"$1,639,080.00",$227.50,"1,727",0
7135,Allegiance,"$571,750.00","$150,772.00",$81.47,"7,018",8,82.99%,-6.05%,2015-11-15,Longacre Theatre,"$927,600.00",$223.00,"1,057",0
7136,An American in Paris,"$1,284,817.00","-$15,481.00",$112.61,"11,409",8,84.94%,-0.71%,2015-11-15,Palace Theatre,"$1,471,280.00",$223.00,"1,679",0
7137,Beautiful: The Carole King Musical,"$1,059,126.00","$42,657.00",$131.15,"8,076",8,98.39%,2.09%,2015-11-15,Stephen Sondheim Theatre,"$1,235,066.00",$299.00,"1,026",0
7138,The Book of Mormon,"$1,487,214.00","-$13,306.00",$170.40,"8,728",8,102.35%,-0.23%,2015-11-15,Eugene O'Neill Theatre,"$1,376,656.00",$477.00,"1,066",0
7139,Chicago,"$546,286.00","-$25,810.00",$82.98,"6,583",8,76.19%,-3.20%,2015-11-15,Ambassador Theatre,"$938,372.00",$186.00,"1,080",0
7140,China Doll,"$1,202,149.00","$144,641.00",$164.00,"7,330",0,97.96%,-1.40%,2015-11-15,Gerald Schoenfeld Theatre,"$1,109,674.00",$350.00,"1,069",7
7141,The Color Purple,"$690,820.00",$0.00,$111.68,"6,186",0,98.10%,0.00%,2015-11-15,Bernard B. Jacobs Theatre,"$776,064.00",$193.00,"1,051",6
7142,The Curious Incident of the Dog in the Night-Time,"$624,104.00","-$16,170.00",$95.15,"6,559",8,80.54%,-2.21%,2015-11-15,Ethel Barrymore Theatre,"$902,678.00",$233.00,"1,018",0
7143,Dames at Sea,"$201,412.00","-$57,503.00",$72.53,"2,777",8,59.54%,-19.30%,2015-11-15,Helen Hayes Theatre,"$576,740.00",$227.00,583,0
7144,Finding Neverland,"$842,673.00","$23,322.00",$88.53,"9,519",8,79.11%,0.91%,2015-11-15,Lunt-Fontanne Theatre,"$1,476,000.00",$225.00,"1,504",0
7145,Fool For Love,"$351,306.00","$74,565.00",$82.50,"4,258",8,83.29%,6.76%,2015-11-15,Samuel J. Friedman Theatre,"$666,576.00",$0.00,639,0
7146,Fun Home,"$632,902.00","-$5,270.00",$115.05,"5,501",8,92.92%,2.40%,2015-11-15,Circle in the Square Theatre,"$794,880.00",$250.00,740,0
7147,A Gentleman's Guide to Love and Murder,"$497,751.00","-$13,902.00",$80.50,"6,183",8,85.21%,2.42%,2015-11-15,Walter Kerr Theatre,"$958,928.00",$327.00,907,0
7148,The Gin Game,"$391,114.00","-$9,118.00",$93.26,"4,194",7,74.71%,-4.84%,2015-11-15,John Golden Theatre,"$680,218.00",$223.00,802,0
7149,Hamilton,"$1,596,311.00","-$175,942.00",$148.66,"10,738",8,101.61%,0.26%,2015-11-15,Richard Rodgers Theatre,"$1,334,960.00",$475.00,"1,321",0
7150,Hand to God,"$221,229.00","$10,292.00",$66.90,"3,307",8,53.55%,-2.39%,2015-11-15,Booth Theatre,"$627,360.00",$223.00,772,0
7151,Jersey Boys,"$636,002.00",-$184.00,$98.82,"6,436",8,65.51%,-7.34%,2015-11-15,August Wilson Theatre,"$1,151,143.00",$199.00,"1,228",0
7152,The King and I,"$766,243.00","-$34,144.00",$119.86,"6,393",8,76.33%,-3.40%,2015-11-15,Vivian Beaumont Theater,"$1,218,380.00",$297.00,"1,047",0
7153,King Charles III,"$677,842.00","$52,408.00",$108.54,"6,245",8,79.90%,-2.69%,2015-11-15,Music Box Theatre,"$996,792.00",$225.00,977,0
7154,Kinky Boots,"$908,831.00","-$16,274.00",$101.86,"8,922",8,78.32%,-0.48%,2015-11-15,Al Hirschfeld Theatre,"$1,268,618.00",$299.00,"1,424",0
7155,Les Misérables,"$672,632.00","$20,223.00",$85.87,"7,833",8,69.49%,1.13%,2015-11-15,Imperial Theatre,"$1,180,842.00",$225.00,"1,409",0
7156,The Lion King,"$1,633,344.00","-$131,488.00",$120.35,"13,572",8,100.03%,0.28%,2015-11-15,Minskoff Theatre,"$1,679,712.00",$225.00,"1,696",0
7157,Lord of the Dance: Dangerous Games,"$396,719.00","$165,057.00",$49.95,"7,942",8,52.36%,-6.11%,2015-11-15,Lyric Theatre,"$1,502,056.00",$225.00,"1,896",0
7158,Matilda The Musical,"$735,997.00","-$75,643.00",$83.17,"8,849",8,77.24%,-2.29%,2015-11-15,Sam S. Shubert Theatre,"$1,327,753.00",$250.00,"1,432",0
7159,Misery,"$822,637.00","-$145,105.00",$96.20,"8,551",1,90.43%,6.19%,2015-11-15,Broadhurst Theatre,"$1,198,176.00",$297.00,"1,182",7
7160,Old Times,"$395,275.00","$3,074.00",$81.08,"4,875",8,82.35%,2.84%,2015-11-15,American Airlines Theatre,"$629,680.00",$0.00,740,0
7161,On Your Feet!,"$1,279,611.00","$209,414.00",$100.44,"12,740",8,97.22%,1.00%,2015-11-15,Marquis Theatre,"$1,552,352.00",$199.00,"1,638",0
7162,The Phantom of the Opera,"$777,401.00","-$1,544.00",$83.26,"9,337",8,72.72%,-0.89%,2015-11-15,Majestic Theatre,"$1,514,575.00",$200.00,"1,605",0
7163,School of Rock – The Musical,"$928,596.00",$0.00,$86.91,"10,685",0,89.88%,0.00%,2015-11-15,Winter Garden Theatre,"$1,456,224.00",$248.00,"1,486",8
7164,Something Rotten!,"$852,711.00","$2,858.00",$90.37,"9,436",8,74.39%,-3.19%,2015-11-15,St. James Theatre,"$1,405,200.00",$277.00,"1,586",0
7165,Spring Awakening,"$415,201.00","-$15,785.00",$79.28,"5,237",8,63.80%,-2.43%,2015-11-15,Brooks Atkinson Theatre,"$1,003,600.00",$247.00,"1,026",0
7166,Sylvia,"$364,084.00","-$23,647.00",$70.97,"5,130",8,59.87%,-4.15%,2015-11-15,Cort Theatre,"$911,820.00",$199.00,"1,071",0
7167,Thérèse Raquin,"$456,892.00","$14,840.00",$80.16,"5,700",8,69.92%,-1.56%,2015-11-15,Studio 54,"$845,144.00",$0.00,"1,019",0
7168,A View from the Bridge,"$440,691.00","$33,972.00",$60.07,"7,336",5,86.76%,2.76%,2015-11-15,Lyceum Theatre,"$854,786.00",$248.00,"1,057",3
7169,Wicked,"$1,646,787.00","$62,914.00",$115.06,"14,312",8,99.00%,5.34%,2015-11-15,Gershwin Theatre,"$1,779,845.00",$240.00,"1,807",0
7170,Aladdin,"$1,486,244.00","$242,418.00",$108.64,"13,680",8,99.02%,2.94%,2015-11-08,New Amsterdam Theatre,"$1,661,912.00",$227.50,"1,727",0
7171,Allegiance,"$420,978.00","-$28,975.00",$55.91,"7,529",1,89.04%,15.13%,2015-11-08,Longacre Theatre,"$951,020.00",$223.00,"1,057",7
7172,An American in Paris,"$1,300,298.00","$177,473.00",$113.02,"11,505",8,85.65%,9.63%,2015-11-08,Palace Theatre,"$1,471,280.00",$223.00,"1,679",0
7173,Beautiful: The Carole King Musical,"$1,016,469.00","$144,337.00",$128.60,"7,904",8,96.30%,2.18%,2015-11-08,Stephen Sondheim Theatre,"$1,235,066.00",$299.00,"1,026",0
7174,The Book of Mormon,"$1,500,520.00","$123,510.00",$171.53,"8,748",8,102.58%,0.19%,2015-11-08,Eugene O'Neill Theatre,"$1,376,656.00",$477.00,"1,066",0
7175,Chicago,"$572,096.00","$10,910.00",$83.41,"6,859",8,79.39%,2.36%,2015-11-08,Ambassador Theatre,"$938,372.00",$186.00,"1,080",0
7176,China Doll,"$1,057,508.00","-$158,373.00",$165.94,"6,373",0,99.36%,0.16%,2015-11-08,Gerald Schoenfeld Theatre,"$957,167.00",$350.00,"1,069",6
7177,The Curious Incident of the Dog in the Night-Time,"$640,274.00","$84,920.00",$95.01,"6,739",8,82.75%,0.78%,2015-11-08,Ethel Barrymore Theatre,"$902,678.00",$233.00,"1,018",0
7178,Dames at Sea,"$258,915.00","$115,908.00",$70.41,"3,677",8,78.84%,16.28%,2015-11-08,Helen Hayes Theatre,"$576,740.00",$227.00,583,0
7179,Finding Neverland,"$819,351.00","$166,809.00",$87.08,"9,409",8,78.20%,1.03%,2015-11-08,Lunt-Fontanne Theatre,"$1,476,000.00",$225.00,"1,504",0
